store_id,department_id,date,year,month,week,dow,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,seventeen,eighteen,nineteen,twenty,twenty_one,twenty_two,twenty_three,total_day
1,1,2018-01-01,2018,1,1,1,0,0,198450,763618,771028,830340,797960,919431,845077,980296,1639494,665552,0,0,0,8411246
1,1,2018-01-02,2018,1,1,2,0,0,242550,610963,790494,884073,692273,879386,939403,3399873,1692880,554691,0,0,0,10686586
1,1,2018-01-03,2018,1,1,3,0,0,308700,463160,513301,1242387,522854,729297,1812688,2110115,2209232,1364627,0,0,0,11276361
1,1,2018-01-04,2018,1,1,4,0,0,242550,394916,1280912,692853,519535,931471,1587639,1514772,1683406,1722540,0,0,0,10570594
1,1,2018-01-05,2018,1,1,5,0,0,308700,800217,314185,524700,859933,1291274,1240777,2325945,1588973,1411776,0,0,0,10666480
1,1,2018-01-06,2018,1,1,6,0,0,396900,858441,2456134,2339872,1139435,3523684,4110691,5000816,3511265,2586468,0,0,0,25923706
1,1,2018-01-07,2018,1,1,7,0,0,529200,1285898,1579710,1583604,1415747,1897375,2597256,4489007,2772518,2745333,0,0,0,20895648
1,1,2018-01-08,2018,1,2,1,0,0,242550,470131,837403,1006670,1060933,1254897,1471280,1925370,2342092,1647592,0,0,0,12258918
1,1,2018-01-09,2018,1,2,2,0,0,198450,574260,938343,384872,612152,1813192,2273016,1349750,2245842,1235659,0,0,0,11625536
1,1,2018-01-10,2018,1,2,3,0,0,220500,202076,747020,805783,974490,1078571,949320,1689285,1622083,2072608,0,0,0,10361736
1,1,2018-01-11,2018,1,2,4,0,0,242550,671262,921834,499660,754516,1090029,1278651,2461057,872905,886795,0,0,0,9679259
1,1,2018-01-12,2018,1,2,5,0,0,286650,308051,498969,809614,957715,1064600,1407199,2095846,954806,1224475,0,0,0,9607925
1,1,2018-01-13,2018,1,2,6,0,0,485100,511043,1338764,2456563,1611910,1298363,3448473,3578920,6746166,3809166,0,0,0,25284468
1,1,2018-01-14,2018,1,2,7,0,0,529200,536922,696704,1034122,1005930,2378410,2769623,1611985,2894525,2588189,0,0,0,16045610
1,1,2018-01-15,2018,1,3,1,0,0,198450,501023,1010533,581150,1213601,1056866,1351063,1789553,1617862,1079615,0,0,0,10399716
1,1,2018-01-16,2018,1,3,2,0,0,418950,650426,576917,437670,1053353,1053567,1761182,1444988,931317,1732144,0,0,0,10060514
1,1,2018-01-17,2018,1,3,3,0,0,242550,694460,1031519,1333231,400034,859694,2919926,1588766,2032576,1720118,0,0,0,12822874
1,1,2018-01-18,2018,1,3,4,0,0,374850,418094,534179,987244,1185822,915251,2154089,3468956,2725258,486135,0,0,0,13249878
1,1,2018-01-19,2018,1,3,5,0,0,198450,690375,711040,618496,624199,1057712,1412392,2617931,1708555,1596492,0,0,0,11235642
1,1,2018-01-20,2018,1,3,6,0,0,882000,1694985,2262496,1697753,1956188,3031421,3878288,2215679,5172532,3087699,0,0,0,25879041
1,1,2018-01-21,2018,1,3,7,0,0,458640,1066750,980685,1043708,1161374,1463690,5587619,2315866,3310284,2718224,0,0,0,20106840
1,1,2018-01-22,2018,1,4,1,0,0,352800,402557,506334,1318955,1065771,1116143,1269752,1985103,1603044,1335199,0,0,0,10955658
1,1,2018-01-23,2018,1,4,2,0,0,198450,975403,1004390,415598,1361876,1032425,1851620,2711061,1533476,935173,0,0,0,12019472
1,1,2018-01-24,2018,1,4,3,0,0,418950,977029,583985,651069,1170948,1001650,2124216,1857307,2758511,1624649,0,0,0,13168314
1,1,2018-01-25,2018,1,4,4,0,0,330750,673340,779511,519435,880128,1050819,1897489,1204114,1813351,1267449,0,0,0,10416386
1,1,2018-01-26,2018,1,4,5,0,0,264600,576617,635442,487253,753174,1291694,1373466,3152018,2383689,1216138,0,0,0,12134091
1,1,2018-01-27,2018,1,4,6,0,0,837900,1175076,937604,1320214,1496236,1607988,4732792,5114631,6933607,1979840,0,0,0,26135888
1,1,2018-01-28,2018,1,4,7,0,0,529200,951857,1531811,2244194,1236028,1624362,4005564,2678794,4741513,2017093,0,0,0,21560416
1,1,2018-01-29,2018,2,1,1,0,0,661500,690636,1364648,599899,1117391,1229594,1989162,5756368,2671955,2028635,0,0,0,18109788
1,1,2018-01-30,2018,2,1,2,0,0,496125,1011608,2117325,1179602,627870,1482998,2099042,2206018,2377272,1107538,0,0,0,14705398
1,1,2018-01-31,2018,2,1,3,0,0,363825,702253,1257834,1191614,689182,778931,1594949,2535405,1538298,1622470,0,0,0,12274761
1,1,2018-02-01,2018,2,1,4,0,0,297675,970126,634671,1303128,982400,1277296,2108471,4037648,3655615,1455985,0,0,0,16723015
1,1,2018-02-02,2018,2,1,5,0,0,595350,734184,924540,1064046,1548183,2168642,3133059,2832300,1823366,1135441,0,0,0,15959111
1,1,2018-02-03,2018,2,1,6,0,0,529200,961422,806241,701020,1010464,1178817,2526140,3905604,3165052,1031585,0,0,0,15815545
1,1,2018-02-04,2018,2,1,7,0,0,396900,1841208,1385216,1002617,867327,2039561,3105200,2217454,2117345,1796157,0,0,0,16768985
1,1,2018-02-05,2018,2,2,1,0,0,727650,689482,2438612,1943546,2123774,2393691,8013674,10967894,3051496,3414787,0,0,0,35764606
1,1,2018-02-06,2018,2,2,2,0,0,846720,2213656,2704026,2467385,2113163,2845717,6083326,6419449,8913141,4231224,0,0,0,38837807
1,1,2018-02-07,2018,2,2,3,0,0,595350,977567,721808,926022,1475316,1088372,3772890,5122260,1865469,2706490,0,0,0,19251544
1,1,2018-02-08,2018,2,2,4,0,0,463050,927178,577558,530844,1267516,1898237,1728553,2252737,4349422,2205002,0,0,0,16200097
1,1,2018-02-09,2018,2,2,5,0,0,529200,1322661,1088376,1253798,1164358,2453916,2068773,3658284,2455721,2336481,0,0,0,18331568
1,1,2018-02-10,2018,2,2,6,0,0,661500,482811,683023,1554230,1205095,1801204,3490205,3965175,3375542,2193047,0,0,0,19411832
1,1,2018-02-11,2018,2,2,7,0,0,529200,1156664,1377922,1252388,1584871,3179695,3426315,3277140,2036525,2009395,0,0,0,19830115
1,1,2018-02-12,2018,2,3,1,0,0,595350,2132773,4322531,2813723,2082997,2343811,8852342,5021381,7361491,3237971,0,0,0,38764370
1,1,2018-02-13,2018,2,3,2,0,0,582120,2102317,2189823,2099374,1613804,2951606,4608668,8926698,10881635,2901895,0,0,0,38857940
1,1,2018-02-14,2018,2,3,3,0,0,363825,674176,1455057,1177693,1983727,1352138,3009819,2569162,1712976,1780434,0,0,0,16079007
1,1,2018-02-15,2018,2,3,4,0,0,297675,947484,1119065,621150,999330,2321678,1774562,3354409,2093350,1766291,0,0,0,15294994
1,1,2018-02-16,2018,2,3,5,0,0,330750,437930,1279977,1659618,1101708,2185148,2154668,1846757,4019290,1546772,0,0,0,16562618
1,1,2018-02-17,2018,2,3,6,0,0,463050,680099,934297,989809,521655,2186400,1974023,3470544,2075017,2190132,0,0,0,15485026
1,1,2018-02-18,2018,2,3,7,0,0,595350,742199,978382,708840,1130029,1437478,4714229,3805358,2477618,2832444,0,0,0,19421927
1,1,2018-02-19,2018,2,4,1,0,0,727650,2295111,2510204,2766042,1317173,3628537,5047204,4730845,6645170,2653553,0,0,0,32321489
1,1,2018-02-20,2018,2,4,2,0,0,687960,2198121,1609786,3711929,2225740,3191226,3706269,4293914,11723798,3082796,0,0,0,36431539
1,1,2018-02-21,2018,2,4,3,0,0,363825,773168,2104875,1434968,1006088,1620788,3030889,2955953,2464543,1240844,0,0,0,16995941
1,1,2018-02-22,2018,2,4,4,0,0,595350,1230242,693359,1435143,1642972,2264507,2817279,5523612,1649885,1323411,0,0,0,19175760
1,1,2018-02-23,2018,2,4,5,0,0,463050,1531547,1592523,930839,1256648,1986275,1948909,3765499,1702992,2133970,0,0,0,17312252
1,1,2018-02-24,2018,2,4,6,0,0,330750,464335,1679202,1179762,1209886,1543469,1801574,3322598,1764978,1297596,0,0,0,14594150
1,1,2018-02-25,2018,2,4,7,0,0,396900,1576363,1205192,823157,819622,1959206,2905713,4236420,3640392,2865892,0,0,0,20428857
1,1,2018-02-26,2018,3,1,1,0,0,1190700,2343544,2420749,2019207,2238374,4776366,4239925,6125032,5061972,5009326,0,0,0,35425195
1,1,2018-02-27,2018,3,1,2,0,0,1058400,1310365,882932,2929160,1199802,4865163,4498645,4515616,4757873,3682319,0,0,0,29700275
